GRE Score,TOEFL Score,University Rating,SOP,LOR ,GPA,Research,Chance of Admit
295,96,2,4.9,1.7,2.93,0,0.612
340,119,3,4.1,1.7,3.76,0,0.708
336,96,1,3.2,1.8,3.12,1,0.728
337,108,4,3.4,1.3,2.11,0,0.643
323,98,1,1.1,1.3,3.4,0,0.524
302,110,2,4.3,1.7,3.89,0,0.663
335,112,3,1.5,3.0,3.16,0,0.667
332,115,2,2.2,1.3,2.21,1,0.718
330,110,2,2.9,4.7,3.17,0,0.657
296,107,2,1.5,3.2,3.42,0,0.614
308,120,5,1.3,4.6,2.49,0,0.672
317,96,1,1.9,2.4,3.22,1,0.719
301,118,4,5.0,2.8,3.49,1,0.875
327,100,3,4.3,3.6,3.58,1,0.873
325,99,3,1.8,3.9,2.05,1,0.689
331,116,2,3.0,3.7,3.31,1,0.871
305,107,4,4.6,3.3,2.13,1,0.795
323,111,5,4.4,2.6,3.39,0,0.73
315,96,1,2.7,3.4,3.85,1,0.778
327,101,2,4.4,1.6,3.36,1,0.814
308,103,3,3.6,2.6,2.75,1,0.745
338,99,2,2.2,2.7,3.88,0,0.65
313,117,4,3.5,2.2,2.19,0,0.64
296,120,5,2.1,3.7,2.89,0,0.697
316,107,4,2.6,2.9,3.2,0,0.693
324,100,1,3.0,4.6,4.0,0,0.704
300,112,2,1.6,4.5,3.21,1,0.802
337,107,2,2.2,4.1,2.23,1,0.752
337,98,4,2.6,2.6,2.62,1,0.768
328,99,4,3.9,4.5,2.65,1,0.842
339,104,5,4.8,4.7,2.75,0,0.758
337,116,2,2.0,3.7,3.68,0,0.603
325,101,5,2.0,1.4,3.16,1,0.802
327,103,3,3.4,2.4,3.08,0,0.659
306,108,4,1.1,2.5,2.74,1,0.769
337,93,2,4.6,3.0,2.77,1,0.717
333,100,5,3.6,3.7,2.61,1,0.864
340,102,1,3.3,2.6,2.84,1,0.708
323,114,5,1.7,3.4,3.32,0,0.666
304,98,4,2.6,3.4,2.13,1,0.778
327,93,5,3.3,2.2,3.8,0,0.657
296,109,1,1.1,4.5,2.42,1,0.716
322,97,1,1.3,4.0,3.56,1,0.728
305,101,2,3.3,1.2,3.3,1,0.796
325,115,4,2.9,4.5,3.39,0,0.735
300,105,2,2.8,1.1,2.19,1,0.673
311,113,1,3.0,2.0,2.23,0,0.491
324,96,5,4.8,1.9,3.3,0,0.691
297,107,2,3.0,4.3,3.84,0,0.702
319,107,3,4.9,1.5,3.4,1,0.89
310,111,2,1.4,4.3,3.14,1,0.756
300,98,2,4.1,2.0,3.88,0,0.622
305,117,5,2.0,3.8,3.15,0,0.746
302,105,3,1.7,2.0,3.45,1,0.794
291,114,1,2.9,3.2,3.7,1,0.845
306,95,4,3.3,4.5,2.59,1,0.819
297,103,3,4.8,4.0,2.27,0,0.596
321,94,5,2.0,4.6,2.46,1,0.829
303,109,3,1.9,2.9,3.7,0,0.658
302,105,2,1.3,4.0,3.68,1,0.81
303,100,5,3.2,1.7,3.91,0,0.741
340,99,4,3.2,3.8,2.76,0,0.719
326,116,3,3.7,1.2,3.91,0,0.671
305,106,4,4.7,4.2,3.1,0,0.79
334,96,5,2.1,2.7,3.63,1,0.83
331,117,5,1.4,4.6,3.87,0,0.714
312,95,4,5.0,1.5,2.93,0,0.665
297,110,2,3.4,4.0,2.81,1,0.791
308,92,5,1.2,3.9,2.74,0,0.583
336,109,4,2.0,3.4,3.51,0,0.719
293,119,1,2.8,4.6,2.85,0,0.667
297,93,3,4.3,1.5,2.06,0,0.576
294,113,3,2.1,3.1,2.96,1,0.776
297,96,4,2.8,2.5,2.17,0,0.567
321,101,5,2.8,2.5,2.09,1,0.756
310,99,3,3.3,4.3,3.72,1,0.88
303,111,3,4.9,1.6,3.42,0,0.623
340,93,5,1.7,4.1,2.38,1,0.831
333,97,1,4.5,4.7,3.08,1,0.799
292,102,5,4.3,4.4,2.69,1,0.86
315,114,4,1.9,4.1,2.02,0,0.63
290,113,5,2.9,2.7,3.59,1,0.897
322,103,5,1.2,4.4,2.01,1,0.814
296,99,3,1.9,4.6,2.65,0,0.583
294,98,5,4.0,1.8,3.4,0,0.641
297,101,5,1.3,1.0,2.86,0,0.651
290,114,5,3.1,2.7,3.6,1,0.853
319,117,3,3.8,2.6,3.29,0,0.669
335,113,2,2.6,3.4,3.57,0,0.707
307,108,1,2.1,2.6,2.39,1,0.662
329,108,4,2.9,3.9,3.96,0,0.713
299,117,2,3.0,1.1,3.11,1,0.779
321,96,4,1.2,2.6,3.68,0,0.697
327,96,1,4.5,3.7,3.18,1,0.802
312,94,5,4.6,4.0,3.05,1,0.831
316,100,1,2.8,3.2,3.43,0,0.675
304,101,4,2.7,4.1,2.66,0,0.665
320,106,1,1.8,2.1,2.61,0,0.54
323,108,3,3.3,3.3,3.8,1,0.813
314,112,4,4.2,2.2,3.35,0,0.724
298,110,3,5.0,2.8,4.0,1,0.898
326,120,2,2.8,2.0,2.23,1,0.728
292,103,2,4.9,2.5,2.68,0,0.571
316,101,1,3.7,5.0,3.67,1,0.864
327,112,3,3.3,2.7,2.69,1,0.807
313,107,4,4.0,2.5,2.67,0,0.631
313,98,4,1.8,1.6,3.24,0,0.606
336,119,3,2.0,4.6,3.54,1,0.844
321,113,3,1.6,1.1,2.37,1,0.781
335,105,2,3.3,4.7,2.35,0,0.618
336,115,4,1.4,2.3,2.89,1,0.803
332,106,3,4.5,4.5,2.94,1,0.889
338,97,1,1.7,3.0,2.28,0,0.558
305,119,5,2.5,2.4,3.64,0,0.714
336,114,1,1.9,2.4,2.6,1,0.692
320,116,5,2.6,4.1,2.97,1,0.811
297,100,4,2.4,2.5,3.85,1,0.789
337,111,4,2.9,2.5,2.22,1,0.742
291,103,2,2.2,4.9,3.73,0,0.697
328,120,1,4.2,3.5,3.15,0,0.672
301,102,4,2.8,3.3,2.28,1,0.767
309,113,4,1.8,1.3,2.45,1,0.774
340,100,2,4.3,1.8,2.52,1,0.79
296,102,2,4.1,3.9,2.69,0,0.665
322,99,3,1.6,3.7,3.31,0,0.646
308,115,4,1.5,2.3,2.38,1,0.765
301,96,4,1.2,1.8,2.2,1,0.719
340,117,2,2.9,4.6,3.67,1,0.872
297,108,5,1.7,3.0,2.76,1,0.794
290,100,3,2.8,1.2,3.59,0,0.605
311,94,2,4.2,1.3,2.77,1,0.723
312,105,3,4.2,3.6,3.99,0,0.746
318,116,5,2.3,4.1,3.49,0,0.687
300,118,4,2.0,3.8,3.72,1,0.831
333,108,4,4.9,2.3,3.44,1,0.884
301,114,1,3.8,4.5,2.32,0,0.592
317,114,3,3.7,1.7,2.72,0,0.604
293,107,1,4.0,2.0,2.95,0,0.605
302,118,4,4.7,4.8,3.03,1,0.903
314,94,2,1.6,2.7,2.4,1,0.717
325,104,5,1.9,4.9,2.04,0,0.66
328,102,1,2.4,3.5,3.74,1,0.755
333,106,4,2.7,1.7,2.11,0,0.557
311,95,5,1.7,4.2,2.78,0,0.66
300,100,3,4.9,1.9,2.13,1,0.77
316,97,4,1.1,4.1,3.78,1,0.798
340,101,4,4.4,4.1,2.55,1,0.826
334,110,5,5.0,1.8,2.49,0,0.698
303,103,1,1.0,2.6,3.95,0,0.596
319,105,4,1.9,4.3,3.21,0,0.657
337,114,5,1.5,2.0,2.13,1,0.771
309,99,2,1.4,2.3,2.75,1,0.677
316,119,4,2.7,4.4,2.42,0,0.703
292,97,5,4.6,1.2,2.97,0,0.652
319,109,1,1.7,1.3,3.98,1,0.77
317,113,5,4.0,3.1,2.1,1,0.814
330,118,5,3.9,1.6,3.2,1,0.878
307,117,2,2.6,1.1,3.65,0,0.635
337,102,3,1.2,1.5,3.78,1,0.766
321,110,3,1.7,1.7,2.61,0,0.598
303,112,2,3.1,4.5,2.81,1,0.827
298,120,5,3.4,4.0,2.51,1,0.85
294,116,1,1.2,2.4,3.81,1,0.771
307,99,1,1.1,2.1,3.06,0,0.581
297,117,4,1.9,2.8,3.06,1,0.777
318,113,4,1.2,3.2,2.34,1,0.756
316,120,5,2.2,1.3,2.87,0,0.647
291,101,1,3.9,2.5,2.88,1,0.742
297,106,1,5.0,4.0,2.89,1,0.79
327,103,2,2.6,4.5,3.46,0,0.677
329,109,5,4.2,1.1,2.96,1,0.852
338,106,3,2.0,4.2,2.55,1,0.764
331,119,2,4.3,1.5,2.67,0,0.615
307,119,4,2.8,1.9,3.09,1,0.843
306,104,5,4.2,5.0,2.35,0,0.741
314,93,3,1.1,1.1,2.36,1,0.734
300,92,5,1.5,4.4,3.15,1,0.796
321,103,5,4.9,1.9,2.94,0,0.749
303,117,3,3.1,1.3,2.24,0,0.554
331,94,5,2.3,4.3,3.24,0,0.642
330,118,4,2.7,2.0,3.01,1,0.799
316,98,1,4.1,4.8,2.13,1,0.743
323,96,5,3.0,3.0,2.11,1,0.757
295,116,2,3.5,4.6,3.67,1,0.891
298,98,5,3.3,2.7,3.39,0,0.703
334,108,5,3.8,2.1,3.92,1,0.916
301,106,1,3.3,3.3,2.99,0,0.622
334,108,1,4.3,1.8,2.19,1,0.73
330,119,4,2.9,1.9,2.86,0,0.7
297,109,5,1.0,1.7,3.75,1,0.801
311,119,2,3.1,4.1,2.64,1,0.848
311,98,1,1.3,2.4,3.65,1,0.687
339,93,4,2.2,1.3,2.67,1,0.776
328,100,4,4.2,2.4,3.28,0,0.71
293,96,2,2.0,1.9,2.9,1,0.74
305,102,4,4.7,2.6,2.6,1,0.803
328,109,5,2.8,2.8,2.41,1,0.833
327,103,4,1.4,4.6,2.14,0,0.69
302,102,2,3.0,2.0,2.59,0,0.554
300,98,4,1.9,3.8,2.08,1,0.791
306,110,5,2.6,1.5,3.94,1,0.862
322,104,1,1.7,2.7,3.6,0,0.579
329,119,1,3.7,3.0,3.58,1,0.839
316,98,3,2.7,3.3,3.68,0,0.681
306,112,2,1.1,2.9,3.38,1,0.715
304,96,1,1.1,3.4,3.04,1,0.616
310,114,1,2.3,2.2,3.23,0,0.599
290,99,5,3.8,4.5,3.82,0,0.783
333,92,3,4.2,2.4,2.84,1,0.848
329,106,4,4.2,1.8,3.71,1,0.834
312,107,5,1.5,1.4,3.06,1,0.831
309,116,2,4.5,3.4,2.14,0,0.697
294,107,3,2.5,4.5,3.87,0,0.7
318,103,2,2.2,3.5,3.66,1,0.817
292,114,2,2.7,3.0,3.5,1,0.788
339,117,1,1.5,2.0,3.32,0,0.61
335,119,1,3.2,4.3,2.4,1,0.817
299,104,1,1.6,1.4,2.46,0,0.527
333,115,2,2.9,4.7,3.94,1,0.849
308,106,3,3.9,4.7,3.04,0,0.711
292,95,5,1.4,4.8,3.76,0,0.725
326,103,1,2.3,4.5,2.74,1,0.737
333,108,4,1.5,1.8,3.01,1,0.796
337,95,5,3.3,2.5,3.18,0,0.68
293,93,1,1.6,1.5,2.92,1,0.702
300,118,1,3.6,2.8,3.73,0,0.648
314,96,1,4.5,2.8,3.73,0,0.648
333,119,4,2.9,2.8,3.36,1,0.821
320,118,5,2.3,2.5,2.09,0,0.657
309,105,4,1.1,3.8,2.82,1,0.779
329,101,1,3.8,1.7,2.54,0,0.544
303,106,3,1.5,2.6,2.71,1,0.786
304,97,1,4.1,3.4,2.53,1,0.722
295,97,2,3.9,2.5,3.94,1,0.776
295,110,5,3.7,4.9,3.29,0,0.753
306,107,3,3.8,1.6,3.17,1,0.857
339,113,1,3.4,2.8,2.56,0,0.559
291,93,4,2.4,3.7,2.44,1,0.721
331,113,5,1.7,2.6,3.34,1,0.792
323,96,2,4.0,2.7,3.91,0,0.683
331,98,1,1.5,3.5,2.73,0,0.584
300,94,3,4.4,1.7,2.96,0,0.611
311,119,2,2.7,3.7,3.98,0,0.693
326,102,4,2.3,2.7,3.76,0,0.705
307,115,2,2.1,2.2,3.0,0,0.598
333,116,4,3.1,2.5,3.06,0,0.647
298,100,2,2.7,2.8,3.45,1,0.79
303,99,3,3.3,3.4,2.41,0,0.598
317,98,5,4.9,2.6,3.5,0,0.762
322,106,4,4.1,2.6,3.89,0,0.69
322,108,4,3.5,5.0,2.24,1,0.864
305,103,1,3.3,4.0,2.91,0,0.6
328,92,1,3.8,1.9,3.47,0,0.57
298,116,2,3.3,2.7,3.96,0,0.684
327,109,1,2.0,2.8,3.23,0,0.62
330,97,4,1.1,1.9,3.88,0,0.634
339,99,2,4.8,4.8,2.24,1,0.805
330,116,2,4.9,2.9,3.08,0,0.655
334,113,4,5.0,2.3,2.33,0,0.728
293,96,1,1.1,3.2,2.93,1,0.724
319,108,2,1.9,2.5,2.15,0,0.596
296,115,1,3.0,4.0,3.72,1,0.783
330,100,2,2.0,1.1,3.64,0,0.607
323,102,3,4.2,1.7,3.53,0,0.624
298,104,4,4.1,2.5,3.02,1,0.847
293,101,2,2.2,1.1,3.17,1,0.697
298,95,4,3.3,2.1,3.27,1,0.858
321,98,5,2.6,3.4,3.45,0,0.707
307,109,5,2.9,3.3,3.39,0,0.709
314,115,5,2.4,1.3,3.98,1,0.851
307,102,2,3.3,4.1,3.2,0,0.556
322,113,1,3.8,4.4,3.2,0,0.635
330,96,5,2.1,1.4,2.72,1,0.746
316,109,4,2.8,3.9,2.02,1,0.783
293,97,1,1.9,2.3,3.78,1,0.703
315,97,4,4.1,3.4,2.77,1,0.88
291,106,4,2.5,1.5,2.81,0,0.603
304,96,4,1.5,4.9,3.01,1,0.75
310,110,5,3.1,4.4,2.59,1,0.855
293,118,5,3.0,4.7,3.4,1,0.931
298,93,4,2.6,3.9,3.6,1,0.841
306,97,2,2.8,4.9,2.37,0,0.629
290,107,1,5.0,1.0,3.5,0,0.625
326,119,5,3.7,4.6,3.63,0,0.767
326,119,5,4.8,3.5,2.1,0,0.722
293,116,1,1.0,5.0,3.75,0,0.683
315,113,2,4.5,1.7,3.17,0,0.636
313,119,3,4.5,2.5,3.85,1,0.908
294,93,1,2.8,3.5,2.01,1,0.67
328,104,4,3.1,2.6,2.76,0,0.654
308,119,3,1.1,4.7,2.58,1,0.807
339,116,1,3.4,3.2,3.97,1,0.828
295,98,3,3.9,2.8,2.7,1,0.796
323,119,5,4.6,3.3,2.34,1,0.835
340,111,5,3.1,1.7,2.25,1,0.76
332,118,4,3.5,3.1,2.12,1,0.84
294,102,2,3.6,3.3,3.0,1,0.767
337,98,2,4.7,2.6,2.01,1,0.757
339,92,2,3.6,4.6,3.84,1,0.863
324,98,4,2.3,4.3,3.78,1,0.891
333,106,3,1.6,3.0,4.0,1,0.787
340,120,2,2.7,4.9,2.53,0,0.719
337,101,1,1.2,1.1,3.05,0,0.58
292,93,1,2.9,3.9,2.21,0,0.591
315,117,5,2.1,2.3,3.04,0,0.649
324,113,4,2.6,2.6,3.63,0,0.733
302,119,3,4.2,4.2,2.36,0,0.713
337,116,3,2.9,1.3,2.38,1,0.712
295,119,3,2.3,4.4,3.39,0,0.689
313,115,2,1.6,3.7,2.69,1,0.757
310,103,1,1.9,2.1,3.98,0,0.589
306,99,5,3.4,3.3,3.86,1,0.888
305,92,2,4.1,2.9,2.4,0,0.536
337,107,2,1.8,3.0,2.55,1,0.756
336,107,4,1.5,4.1,2.94,0,0.724
317,116,5,1.9,2.6,2.73,0,0.63
310,114,4,2.7,3.2,3.45,1,0.864
306,110,5,1.4,2.3,2.72,1,0.746
326,95,4,4.7,2.1,2.56,1,0.845
299,105,3,4.4,2.0,2.01,1,0.751
335,118,5,2.0,1.5,2.49,1,0.792
305,107,3,4.7,2.7,2.09,1,0.807
339,94,2,1.1,1.5,3.93,0,0.54
321,93,1,4.5,3.7,2.05,0,0.568
291,101,5,3.1,1.1,2.42,0,0.609
327,95,1,3.1,1.2,2.16,1,0.684
314,103,4,3.6,2.9,2.74,0,0.649
298,108,5,4.6,1.6,3.82,0,0.771
295,106,3,1.1,3.2,2.93,0,0.579
324,98,1,2.3,2.4,3.4,0,0.598
337,92,3,1.3,4.8,2.98,1,0.787
326,119,4,3.7,2.4,2.0,0,0.662
290,104,5,4.0,2.6,3.64,1,0.87
310,101,4,4.5,2.1,3.91,1,0.814
326,93,3,3.2,1.7,3.66,0,0.669
298,99,2,2.0,2.3,3.98,1,0.725
315,120,4,1.1,4.8,3.02,0,0.694
306,110,2,2.2,4.8,3.93,1,0.879
336,99,3,1.4,1.7,2.6,1,0.718
307,106,5,2.9,2.1,2.28,1,0.77
300,105,4,2.7,4.7,2.22,0,0.637
336,120,3,1.6,1.9,2.39,1,0.728
327,113,1,4.5,4.3,3.71,0,0.721
319,103,5,3.1,1.3,3.45,1,0.798
330,102,2,1.6,3.2,3.38,1,0.834
339,117,3,1.6,1.5,3.04,1,0.795
301,113,3,3.5,4.4,3.81,0,0.685
305,92,3,4.8,2.1,3.3,1,0.796
